"죄종별(1)",죄종별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외
"죄종별(1)",죄종별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계
"폭력범죄",공갈,5131,881,326,163,485,102,152,60,30,67,1,25,26,8,16,30,48,9,121,62,148,70,73,18,43,20,12,25,78,10,80,11,33,52,13,36,78,14,6,12,6,26,36,1,4,84,33,2,16,14,13,16,22,37,68,18,7,2,32,60,6,7,15,21,21,37,26,19,68,19,3,6,17,6,6,40,18,74,5,3,40,33,122,9,19,66,210,274
"폭력범죄",손괴,54188,9365,3506,2580,3126,1463,1557,1077,246,872,43,334,413,158,262,472,527,107,1101,689,1508,679,988,296,588,254,170,294,783,79,617,302,477,864,188,246,770,277,129,87,123,379,296,49,143,989,241,30,95,150,184,96,252,357,799,316,49,86,330,583,109,138,130,312,335,368,342,243,439,172,60,88,172,93,132,527,198,530,96,92,360,359,1069,142,366,879,15,3381
"지능범죄",소계,361107,64838,30249,17979,19423,9162,10707,7519,1410,7355,302,1804,2109,1129,1434,3082,3821,658,7013,5598,7683,4319,5248,1170,3198,1292,797,1571,4771,667,3872,1785,2908,5284,995,1661,4366,1066,311,287,592,2404,1839,251,616,6031,1484,89,623,748,770,468,1013,1670,4453,2220,286,435,2021,4327,971,1046,579,2573,1666,1795,1463,1941,3136,742,303,420,930,492,490,2860,1784,4589,640,880,2970,2343,7224,820,1296,4215,14713,17043
"지능범죄",직무유기,957,221,108,24,37,23,32,19,22,7,3,1,4,4,-,4,4,6,14,10,8,7,5,4,6,6,2,4,5,3,3,2,1,2,4,1,8,1,4,-,3,8,4,-,2,17,5,-,1,3,1,-,7,4,6,4,2,-,4,9,1,6,2,9,7,3,3,4,9,9,6,3,7,-,2,7,2,3,3,2,5,14,21,5,2,7,15,101
"지능범죄",직권남용,875,238,103,26,28,16,33,15,14,1,2,1,7,2,4,1,5,-,10,9,17,6,9,1,9,5,3,2,1,8,4,4,1,8,5,5,7,5,2,1,1,4,2,-,1,19,5,-,1,3,1,-,1,4,6,5,1,-,3,6,7,1,3,6,11,10,2,3,7,9,4,1,1,3,1,4,1,1,2,-,4,10,13,4,3,8,6,69
"지능범죄",증수뢰,402,50,18,4,170,8,8,5,2,8,-,1,-,1,1,2,5,-,3,5,2,2,4,1,2,-,-,-,1,2,3,-,2,-,2,1,4,2,-,-,-,3,1,-,1,3,1,-,-,3,-,-,2,-,5,3,-,-,-,5,-,1,1,3,5,-,1,2,1,2,-,-,3,-,-,2,-,-,-,-,2,1,3,2,-,4,3,20
"지능범죄",통화,376,125,22,9,16,7,7,3,-,6,-,-,3,3,1,-,6,2,10,6,7,3,4,2,4,-,-,1,4,-,6,1,-,4,-,-,3,-,-,-,-,4,6,-,-,4,13,-,2,-,-,1,-,6,10,-,-,1,2,2,-,-,-,3,1,2,-,6,1,-,-,-,5,-,-,7,-,1,1,2,4,4,2,-,2,2,3,14
"지능범죄",문서·인장,10472,1925,818,442,490,273,244,327,43,202,14,38,58,25,24,71,102,15,136,132,195,102,156,42,70,60,23,19,139,27,97,31,110,128,36,28,112,23,7,12,23,55,62,4,17,163,29,5,13,33,26,14,46,53,92,177,15,9,53,116,28,30,32,78,47,52,40,44,78,24,20,19,26,16,13,64,55,128,19,73,75,67,202,32,24,152,359,874
"지능범죄",유가증권인지,63,26,3,1,6,-,1,1,-,-,1,-,1,-,-,-,-,-,1,2,2,1,2,-,-,1,-,-,1,1,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"지능범죄",사기,294075,48352,25516,15076,14870,7275,9063,6073,1117,5681,234,1389,1713,869,1135,2363,3149,539,5703,4463,6125,3691,4303,896,2404,1012,678,1330,3852,554,2989,1574,2319,4547,823,1204,3633,842,262,233,492,2126,1597,229,524,5156,1281,71,532,617,631,376,820,1356,3670,1844,244,382,1756,3709,877,897,449,2170,1375,1435,1202,1649,2782,622,250,354,789,441,419,2510,1543,4017,581,722,2645,2063,6214,696,1015,3394,13745,13955
